Sample.ID,Sample.Type,Run.Number,Temperature,Treatment,Weight.g,Rate.O2.L.min
blank1,Blank,1,19,,,-1.71E-04
blank1,Blank,2,17,,,3.46E-04
blank1,Blank,3,15,,,1.73E-03
blank1,Blank,4,13,,,2.31E-04
blank1,Blank,5,11,,,-2.03E-03
blank2,Blank,1,19,,,-1.17E-03
blank2,Blank,2,17,,,2.12E-04
blank2,Blank,3,15,,,-2.66E-03
blank2,Blank,4,13,,,2.46E-03
blank2,Blank,5,11,,,3.46E-03
M08,Sample,1,19,Cold,7.2,-2.24E-04
M08,Sample,2,17,Cold,7.2,-2.33E-03
M08,Sample,3,15,Cold,7.2,-8.61E-04
M08,Sample,4,13,Cold,7.2,-5.48E-05
M08,Sample,5,11,Cold,7.2,-5.98E-03
M23,Sample,1,19,Hot,5.5,-2.22E-03
M23,Sample,2,17,Hot,5.5,-9.02E-04
M23,Sample,3,15,Hot,5.5,-2.29E-03
M23,Sample,4,13,Hot,5.5,-2.37E-03
M23,Sample,5,11,Hot,5.5,-2.02E-03
M26,Sample,1,19,Cold,6.9,-2.84E-03
M26,Sample,2,17,Cold,6.9,-7.35E-03
M26,Sample,3,15,Cold,6.9,-2.86E-03
M26,Sample,4,13,Cold,6.9,-1.65E-04
M26,Sample,5,11,Cold,6.9,-1.86E-03
M31,Sample,1,19,Hot,6.6,-1.52E-03
M31,Sample,2,17,Hot,6.6,-2.06E-04
M31,Sample,3,15,Hot,6.6,-9.23E-04
M31,Sample,4,13,Hot,6.6,-1.09E-03
M31,Sample,5,11,Hot,6.6,1.94E-04
M39,Sample,1,19,Cold,8.7,-6.58E-03
M39,Sample,2,17,Cold,8.7,1.18E-03
M39,Sample,3,15,Cold,8.7,-7.18E-03
M39,Sample,4,13,Cold,8.7,-2.17E-03
M39,Sample,5,11,Cold,8.7,-1.36E-03
M44,Sample,1,19,Hot,7.6,-1.68E-03
M44,Sample,2,17,Hot,7.6,-1.24E-03
M44,Sample,3,15,Hot,7.6,-1.12E-03
M44,Sample,4,13,Hot,7.6,2.02E-04
M44,Sample,5,11,Hot,7.6,2.47E-03